sediment content	61-17816-B
sedimentary belt geol 	37-7083-B
sedimentary rock geol 	37-7014-B
sedimentation geol 	37-6864-B,37-6936-B
sedition	39-21210-S
seduce	10-12546-S,23-30737-S,58-23902-S
seduce by deceipt	18-42940-S
seduction	18-43016-B
seductive	18-34678-B
see	1-9857-S,2-10720-S,2-28031-S,4-34251-S,5-18624-S,14-6067-S,18-26429-S,21-4982-S,23-58459-S,27-47573-S,29-24191-S,30-2553-S,32-21986-S,32-36896-S,32-37053-S,34-17603-S,34-17736-S,34-35617-S,39-52210-S,39-52309-S,39-52449-S,39-52589-S,41-54542-S,45-15431-S,45-37224-S,45-37356-S,45-37438-S,45-38061-S,45-39443-S,45-57257-B,45-57335-S,45-58118-S,50-30035-S,50-63356-S,56-2745-S,57-29437-S,57-29615-S,57-37547-S,57-40729-B,57-55051-S,65-49561-S,65-65575-S
see 	58-43073-S
see a bow reflected in a cup as a snake 成语 saw	33-13429-S
see a doctor	21-10763-S,45-39192-B
see a gap and drill 成语 saw	57-30307-S
see a gap and stick in a needle 成语 saw	57-30450-S
see a leopard through a narrow tube 成语 saw	48-25269-S
see a patient	45-39192-B
see a tiny bit and understand everything 成语 saw	58-62318-S
see a worthy	57-31345-B
see again	25-25692-S
see also	11-40282-B
see also 糠	23-990-B
see also 老公 lao3 gong1	51-25818-B
see also 鰈 鲽	71-57698-B
see and enjoy	57-43567-S
see as	57-35492-S
see at first hand	45-18367-S
see below	1-64389-S
see chányú 單於 单于	14-16186-B
see clearly	37-57548-S,37-58199-S,45-37533-S,45-38877-S,58-20927-S
see enclosed in artificial capsule	10-17873-B
see far 成语 saw	44-25630-S,70-18635-S
see fit	4-42048-S
see historical character lao ai 嫪毐	36-6786-B
see how to treat others	24-35993-S
see in a dream	17-2935-S
see in the new year	61-45499-S
see incidentally	6-22039-S
see is what you get wysiwyg	26-29765-S
see isolated details	12-8499-S
see it	5-24801-S,24-51290-S
see it 成语 saw	32-36896-S,32-37053-S,45-15041-S,45-15174-S
see light water reactor 輕水反應堆 轻水反应堆	61-10981-B
see lucky money	9-6532-S
see láo sào 髝髞	70-24280-B
see me out	2-33387-S,43-50384-S
see nothing worthwhile all around 成语 saw	45-18541-S,45-18691-S
see off	35-32518-B,61-63346-S
see off a departing guest	45-19023-S
see one s own faults	45-14851-S,45-15577-S
see one spot on a leopard	47-58451-S
see one spot on a leopard 成语 saw	47-58539-S
see only a small piece of the big picture	56-18065-S
see píxiū 貔貅	59-27197-B,59-28448-B
see sb	27-31520-S,57-31523-S
see sb off	61-63508-S,61-64075-S
see stars	45-18211-S,45-48245-S,68-37562-S,68-37668-S,68-37983-S
see stars from blow on the head etc	64-11065-S
see sth frequently	22-32014-S
see that	45-38113-B
see the eyelashes 成语 saw	45-14851-S,45-15577-S
see the importance of sth	32-37334-S
see the larger issues	2-30171-S
see the light	24-68348-S,59-16709-S
see the light of day	4-4679-S
see the mountain	65-43447-S
see the outcome of a fight before taking sides	15-51688-S
see the ox already cut up into joints 成语 saw	45-17560-S
see the rice	13-6454-S
see the sun 成语 saw	29-12887-S
see the truth	45-34158-S,63-48169-S
see the wind and assume it will rain 成语 saw	57-31944-S
see the wind and set the helm 成语 saw	57-31761-S
see the wind and set your sails 成语 saw	57-31576-S
see the wood for the trees	12-8499-S
see the world	38-34479-S,65-49320-S
see through	45-39597-S,58-63090-S,62-1206-S
see through a project	58-50561-S
see through the problem at one glance	45-17560-S
see tāo tiè 饕餮	69-18493-B,69-20363-B
see what is right and act courageously 成语 saw	57-30610-S
see where things are heading	18-30395-S
see who is best	1-21651-S
see who is right	48-19242-S,60-13634-S
see with one s own eyes	45-17047-S,45-18367-S
see wu shihuo 武士彟	23-53561-B
see you later	14-57691-B
see you tomorrow	31-22927-B
see 卟啉	11-11883-B,13-61992-B
see 叱咤	13-27784-S
see 吐蕃 tubo	55-13862-B
see 吲哚	12-69083-B,13-41655-B
see 呋喃 furan or 呋喃西林 furacilinum	13-9724-B
see 哐啷	13-41433-B,14-444-B
see 哩哩啦啦 lililala	13-44315-B
see 哩哩羅羅 哩哩罗罗 lililuoluo endless mumbling noise	13-44315-B
see 喹啉	14-23005-B
see 嘲哳	13-48127-B,14-32179-B
see 噼啪 劈啪	9-40759-B,14-39323-B
see 囒哰 lan2 lao2	13-47484-B
see 囹圄 prison	14-63926-B
see 囹圉 prison	15-1516-B
see 垃圾	15-47009-B
see 媒妁 媒妁	18-29957-S
see 彆扭 别扭	23-46644-B
see 成语 saw	1-11282-S,14-9089-S,32-37334-S,68-52159-S
see 拮据 or 拮據	28-7378-B
see 搶風 抢风 contrary wind	28-61617-B
see 旮旯	31-16788-B,31-16955-B
see 枇杷 loquat	33-26834-B,33-31637-B
see 淪浹 沦浃	38-27751-B
see 焯	50-11759-S
see 狸猫	42-8730-B
see 琵琶	42-59924-B,42-60057-B
see 白鱀豚 白暨豚 extinct chinese river dolphin	70-47136-B
see 皒皒 white	44-63064-B
see 磅秤 scale	46-36500-B
see 羅唣 罗唣	13-53330-B
see 羅艻 罗艻 sweet basil	53-46512-B
see 老闆 老板	65-50815-B
see 耵聹 耵聍	51-40101-B,51-69086-B
see 肉豆蔻 nutmeg	55-13589-B
see 腳鐐 脚镣	64-59216-B
see 膃肭 腽肭	52-12935-B
see 膃肭獸 腽肭兽 and 膃肭臍 腽肭脐	52-46574-B
see 臃腫 臃肿	52-51939-B
see 艅艎	53-39157-B
see 艨艟	53-39647-B,53-40081-B
see 芋艿 taro	53-48835-B
see 芙蓉 fu2 rong2	53-50111-B,55-4877-B
see 花蕠	55-15136-B
see 荸薺 荸荠	54-20371-B
see 蒷簹 筼筜 tall bamboo	48-40013-B,55-1534-B
see 蕠藘 and 蕠漆	55-15136-B
see 虰蛵	56-1259-B
see 蚰蜒	55-58753-B
see 蜘蛛	56-322-B,56-4246-B
see 蜻蜓	56-4212-B,56-5965-B
see 蝲蛄	56-8531-B
see 蝼蛄 mole cricket gryllotalpa	55-59491-B,56-15160-B
see 蠼螋	56-10193-B,56-23662-B
see 闍棃 阇梨	65-51652-B
see 闔家 阖家 the whole family	65-51942-B
see 青葙	54-56576-B
see 顳顬 颞颥	68-49881-B,68-52886-B
see 鰟鮍 鳑鲏	70-41760-B,70-46091-B
see 齌怒 rage	71-54733-B
seed	15-32340-S,18-55228-S,19-121-B,19-1882-B,20-11839-B,29-15724-B,44-44802-S,44-50230-S,47-31899-B,47-32421-B,50-50295-S,52-23165-S,53-51680-S,53-52575-S,54-10574-S,54-39064-S,54-61500-S,55-8994-S,64-3425-S,71-32821-S
seed bed	53-64653-B
seed coated cake	41-27891-S
seed collecting	28-21966-B
seed contained in a cone	57-3038-S,57-3141-S
seed contained in a fruit	56-51683-S,56-51797-S
seed dispersal	33-36583-S
seed dressing	27-28913-B
seed held back for planting	43-50890-B
seed of fennel	20-70102-S
seed pod bot 	55-1484-B
seed selection	63-979-B
seed stock	43-50890-S
seed tuber	47-32198-B,47-33881-B
seeded player	47-32515-B
seeding	71-39458-S,71-39458-S
seedless fruit	40-54677-B
seedling	8-44531-S,22-54799-B,34-625-B,46-16853-S,47-25459-B,47-25564-B,53-63751-S,59-17697-S
seedling of rice or other grain	47-10918-B
seedlings	5-38969-S,28-43776-S,56-59225-S,65-46836-S
seedlings for transplanting	27-34035-S
seeds	12-63315-S,29-8190-S,29-15724-S,41-14877-S,43-8856-S,46-7311-S,48-47086-B,49-50379-S,54-30008-S,54-60687-S,55-15332-S,64-26805-S
seeds from fibre	60-61170-S
seeds in early spring	31-13768-S
seeds of litchi or lychee in traditional chinese medicine	54-18895-B
seeds of plant	49-40749-S
seeds to make them germinate	38-27639-S
seeds with front teeth	14-23919-S
seeing	45-39856-S,62-38106-S
seeing area	57-41872-S,62-38175-S
seeing exactly the same situation a second time	4-62488-S
seeing for oneself is better than hearing from many others	44-55966-B
seeing how it is prepared 成语 saw	45-47760-S
seeing is believing	44-55966-B
seeing it	58-20576-S
seeing off platform	61-63659-B
seeing once is better than hearing a hundred times 成语 saw	44-55966-B
seeing riches provokes evil designs	57-31255-B
seeing sth beautiful	45-50905-S
seeing that	41-7392-B
seeing through a conspiracy	41-7089-S
seek	20-44603-S,20-45173-S,20-45534-S,24-23450-S,26-58729-S,26-59384-S,28-2631-S,28-22996-S,28-23198-S,36-53489-S,36-54423-S,41-54542-S,57-34024-B,57-34050-S,58-858-B,58-50147-B,58-50390-S,58-51113-S,59-38870-S,61-59151-S
seek a marriage partner	26-59452-S
seek a teacher desiring to study	58-1352-S
seek advantage	57-62015-S
seek advice	22-26153-S
seek after	36-53633-B,46-51863-S,61-58919-S
seek asylum	27-1050-S
seek asylum political etc	63-7929-S
seek by inquiry or search	28-23958-B
